CodigoVariable,CodigoDuracion,UnidadMedida,CodigoSICAgente,CodigoPlanta,Version
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GNCG,MND1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,GECG,TGJ1,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EMSG,2S6Q,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
GReal,PT1H,kWh,EPMG,2S6U,TX2
